"obs","time...2","elapsed","date","hhmmss...5","species","ID","TIME...8","E","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","TIME...44","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","F_avg","dF/dt","dF_dc/dt","F_dc_avg","period","time...85","hhmmss...86","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","round","TIME...9","TIME...45","time...86","hhmmss...87","DarkAdaptedID","Fo","Fm","Fv","Fv/Fm","Adark","LightAdaptedID","Fs","Fm'","PhiPS2","PS2/1","Qabs_fs","Afs","ETR","Fv'/Fm'","PhiCO2","NPQ","DarkPulseID","Fo'","Fv'","qP","qN","qP_Fo","qN_Fo","TIME...69","time...110","hhmmss...111","tx"
1,1593042972.1,0,"20200624 17:56:12","17:56:12",NA,22,1593042964.1,0.00354935964276144,9.88761968322741,388.693516129032,317.861304833992,27.1811883745198,33.2382442316327,0.263481936911099,2.66112440377506,0.24979929561858,0.157294655397409,129.926295536539,27.8266088669024,27.6007870967742,3.70741485851827,66.8549174080438,2.53673876223322,3.79439368199415,1.17067609628505,-156.52676024578,56.9844464384371,4.65836363966459,35.0423453688611,0,0,1,0,45018.7930505028,799.991677419355,673.19302170974,0.841500031452019,0.193000062904038,6,0.5,"0: Broadleaf",2,1593042964.1,388.693516129032,399.960548387097,29.6650419354839,26.221035483871,389.845516129032,29.6940419354839,600.010677419355,85.4127064516129,0.100024922580645,27.9979838709677,27.6007870967742,999.9,0,0,10001.0919354839,0,128.604580645161,799.991677419355,0.949996838709678,0.0500028096774194,0,2.30142580645161,0,11873.2709677419,5423.88935483871,34.7658387096774,39.8888709677419,36.775935483871,39.1569677419355,35.9694838709677,759.98935483871,40.0003225806452,0,1593042973,0,2.30144615384615,-0.308882045884738,-131.401709191355,11871.8346153846,15,0,"--:--:--",1592956963.5,1592956948,0,-0.105,-0.011,-1.152,-0.029,400,30,0.01,0.03,-11.2686414634146,0.0407811846689665,0.0354837852052534,1,3.43901682926829,0.109072264808378,0.010856436876516,0,1,2,"1/2",100,100,-1.152,-0.029,-1.152,0,0,0,-0.029,0,0,0,-1,-1,-1,-1,1433.5,1433.7,2,636.245,786.583,27.5228,28.4754,30.001,28.248,28.1288,25.7633,-30,-30,-999.9,400,0,102.735,103.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CXC"
2,1593043148.6,176.5,"20200624 17:59:08","17:59:08",NA,23,1593043140.85,0.00636254026834246,18.6253011628295,378.920566666667,322.535773229922,27.5824834969238,32.4043754032762,0.66121524185412,2.66022860647533,0.581690643445317,0.369901563810211,129.930942434239,27.5281218375674,27.59123,3.70534364726788,71.8164638463531,2.80555919242187,3.90656827440598,0.899784454846018,-280.588025833903,130.143929969943,10.6686925135814,-9.84446091613938,0,0,1,0,44920.6968863437,800.014533333333,673.212753297949,0.84150065436055,0.193001308721099,6,0.5,"0: Broadleaf",2,1593043140.85,378.920566666667,399.957133333333,32.8068066666667,26.6528933333333,380.072566666667,32.8358066666667,599.9895,85.4176033333333,0.09999126,28.4986733333333,27.59123,999.9,0,0,9995.081,0,125.5255,800.014533333333,0.949981933333334,0.0500182333333333,0,2.22647,0,12837.6733333333,5424.01866666667,36.5664,41.3122,38.5664,40.4163333333333,37.6039333333333,759.999333333333,40.0183333333333,0,1593043149.4,0,2.22631923076923,0.325767518657362,-361.808547002201,12835.7653846154,15,0,"--:--:--",1592956963.5,1592956948,0,-0.105,-0.011,-1.152,-0.029,400,30,0.01,0.03,-21.0399658536585,0.021844599303113,0.0380014031175877,1,6.14890609756098,0.0873399303135969,0.00874442759929209,1,2,2,"2/2",100,100,-1.152,-0.029,-1.152,0,0,0,-0.029,0,0,0,-1,-1,-1,-1,1436.4,1436.7,2,637.653,783.754,28.0548,28.9533,30.0009,28.8122,28.7052,25.8331,-30,-30,-999.9,400,0,102.671,103.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CXC"
3,1593043792.5,820.400000095367,"20200624 18:09:52","18:09:52",NA,24,1593043784.5,0.00261752008657964,9.39870117316539,389.54964516129,286.51747257105,24.5039941769931,33.3156723428617,0.164377003358491,2.66030896786003,0.158935788747755,0.0998087349311097,129.925932150823,30.0767499737426,29.2679161290323,4.08454574677249,64.1899259807371,2.73218722891585,4.25641124704795,1.35235851785664,-115.432635818162,102.629494927255,8.54612740458498,125.668918664501,0,0,1,0,44702.7739406026,799.989322580645,673.191050274192,0.841500044153813,0.193000088307627,6,0.5,"0: Broadleaf",2,1593043784.5,389.54964516129,399.967870967742,31.9466032258065,29.412735483871,390.700193548387,31.9867967741936,600.007451612903,85.4234838709677,0.100075851612903,29.9834903225806,29.2679161290323,999.9,0,0,9994.88064516129,0,96.2863,799.989322580645,0.949998903225806,0.0500009483870968,0,2.2103064516129,0,9624.39451612903,5423.87741935484,39.419,43.661,41.4878064516129,42.2073225806452,40.191064516129,759.988709677419,40.0006451612903,0,1593043793.2,0,2.2294,-0.776046140490435,54.653846137353,9625.1396,15,1593043332.6,"18:02:12",1593043328.6,1593043332.6,1,0.001,-0.011,-1.151,-0.04,400,27,0.05,0.1,-10.4063731707317,-0.343143554006973,0.0409082913916066,0,2.5333843902439,0.0106946341463389,0.00188066548779362,1,1,2,"1/2",100,100,-1.151,-0.0402,-1.15061904761905,0,0,0,-0.0401904761904817,0,0,0,-1,-1,-1,-1,7.7,7.7,2,626.352,769.476,29.4412,30.5238,30.0008,30.4953,30.4071,25.9734,-30,-30,-999.9,400,0,102.46,102.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C"
4,1593043947.5,975.400000095367,"20200624 18:12:27","18:12:27",NA,25,1593043939.5,0.00324906094315824,11.8793403510737,386.842258064516,282.536506848544,24.1610530426396,33.0807385582972,0.206215432593818,2.66098014152642,0.197730802382999,0.124314972094439,129.928239184709,30.1799237914877,29.6649935483871,4.17915226972411,65.4562419868337,2.83159476598309,4.32593543416785,1.34755750374102,-143.283587593278,86.194188774883,7.19991089206165,80.0387512583751,0,0,1,0,44678.4297344289,800.003225806452,673.202775967668,0.841500076814113,0.193000153628227,6,0.5,"0: Broadleaf",2,1593043939.5,386.842258064516,399.978096774194,33.112335483871,29.9709483870968,387.993032258064,33.1525129032258,600.017161290323,85.4147064516129,0.100094138709677,30.2658225806452,29.6649935483871,999.9,0,0,9999.98193548387,0,149.658741935484,800.003225806452,0.949997677419355,0.050002335483871,0,2.31952903225806,0,10426.9032258064,5423.96870967742,39.778,43.937,41.8404516129032,42.437,40.566064516129,760.001935483871,40.0022580645161,0,1593043948.6,0,2.30864615384615,-1.49992480674324,69.6410257705718,10427.8230769231,15,1593043332.6,"18:02:12",1593043328.6,1593043332.6,1,0.001,-0.011,-1.151,-0.04,400,27,0.05,0.1,-13.1366585365854,-0.0109777003484522,0.021316225076616,1,3.13720780487805,0.0987539372822319,0.00979417285995646,1,2,2,"2/2",100,100,-1.151,-0.0402,-1.15061904761905,0,0,0,-0.0401904761904817,0,0,0,-1,-1,-1,-1,10.3,10.2,2,633.959,766.783,29.6875,30.8136,30.0009,30.7978,30.7078,26.0023,-30,-30,-999.9,400,0,102.418,102.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B"
5,1593044249.5,1277.40000009537,"20200624 18:17:29","18:17:29",NA,26,1593044241.5,0.00460333043342431,4.0580909319224,394.103322580645,365.294843468195,31.2387198369652,33.7023188283405,0.342099353395633,2.65934379398532,0.319396506557404,0.201536889666729,129.922874221234,30.1857224425018,29.6944096774194,4.18623624589107,67.9431770176175,3.00554889391065,4.42362136396907,1.18068735198042,-203.006872114012,137.850776730415,11.5459022596313,76.3126810972682,0,0,1,0,44578.5595320872,799.966838709678,673.172446548983,0.841500439736714,0.193000879473429,6,0.5,"0: Broadleaf",2,1593044241.5,394.103322580645,399.975677419355,35.1458548387097,30.7042548387097,395.253903225806,35.1860483870968,599.992225806452,85.4163870967742,0.100067338709677,30.6559096774194,29.6944096774194,999.9,0,0,9989.85387096774,0,166.048677419355,799.966838709678,0.949984258064516,0.050015664516129,0,2.40347741935484,0,9573.83612903226,5423.69967741935,40.125,44.2398387096774,42.2378064516129,42.429,40.935,759.955483870968,40.01,0,1593044250.4,0,2.385816,0.527546163290762,-1194.91692110306,9556.9972,15,1593043332.6,"18:02:12",1593043328.6,1593043332.6,1,0.001,-0.011,-1.151,-0.04,400,27,0.05,0.1,-5.89432414634146,0.381699512195131,0.0506985280959964,0,4.43909121951219,0.0530841114982574,0.00542228967706991,1,1,2,"1/2",100,100,-1.15,-0.0402,-1.15061904761905,0,0,0,-0.0401904761904817,0,0,0,-1,-1,-1,-1,15.3,15.3,2,626.218,764.795,30.1479,30.9332,29.9997,30.9725,30.8787,26.0576,-30,-30,-999.9,400,0,102.428,102.756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CB"
6,1593044469,1496.90000009537,"20200624 18:21:09","18:21:09",NA,27,1593044461.25,0.00617481459437465,11.0565304634863,386.5227,337.829976085692,28.8881117825758,33.0518655966477,0.473541155517657,2.66049688224201,0.431213928140496,0.272995657929592,129.930516073354,30.0320576808361,30.3001833333333,4.33446392134698,70.336755395236,3.16366789458989,4.49788716697638,1.17079602675709,-272.309323611922,92.8439918336583,7.80747008410065,-41.7273456208094,0,0,1,0,44565.6013074893,800.014466666667,673.212475698415,0.841500377491192,0.193000754982384,6,0.5,"0: Broadleaf",2,1593044461.25,386.5227,399.965733333333,36.99729,31.0510166666667,387.673533333333,37.03748,600.009066666667,85.4107166666667,0.100084113333333,30.9474833333333,30.3001833333333,999.9,0,0,9997.51533333333,0,171.873633333333,800.014466666667,0.9499915,0.05000855,0,2.31690333333333,0,17688.6,5424.03266666667,40.5,44.562,42.5186,42.8372,41.25,760.007666666667,40.011,0,1593044470,0,2.33642,-0.370330766410928,216.607692330798,17690.924,15,1593043332.6,"18:02:12",1593043328.6,1593043332.6,1,0.001,-0.011,-1.151,-0.04,400,27,0.05,0.1,-13.4490365853659,0.0961777003484416,0.0284828297109024,1,5.94983268292683,-0.0539565156794478,0.00618520462204262,1,2,2,"2/2",100,100,-1.15,-0.0402,-1.15061904761905,0,0,0,-0.0401904761904817,0,0,0,-1,-1,-1,-1,19,18.9,2,637.727,761.191,30.4443,30.9481,30,30.993,30.9101,26.0943,-30,-30,-999.9,400,0,102.431,102.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC"
7,1593044688,1715.90000009537,"20200624 18:24:48","18:24:48",NA,28,1593044680,0.00668857272204519,14.5901795564113,382.846258064516,332.871083831996,28.4617823053812,32.7348555723802,0.60178916315204,2.66068247430543,0.535158233902702,0.339843603590912,129.927951967057,29.9991591647389,29.9568741935484,4.24990755020889,71.3072801685321,3.22798368118994,4.5268641204106,1.02192386901895,-294.966057042193,158.251554214772,13.2916875824263,6.5051367220621,0,0,1,0,44553.7642176484,799.998483870968,673.199043047654,0.841500398588549,0.193000797177098,6,0.5,"0: Broadleaf",2,1593044680,382.846258064516,399.997258064516,37.752464516129,31.3163548387097,383.996838709677,37.7926451612903,599.995612903226,85.4039387096774,0.0999806387096774,31.0601129032258,29.9568741935484,999.9,0,0,9999.43548387097,0,173.322,799.998483870968,0.949988322580645,0.0500119419354839,0,2.32442258064516,0,10634.4516129032,5423.92064516129,40.8465483870968,45.062,42.8282580645161,43.187,41.6087419354839,759.989677419355,40.0106451612903,0,1593044689,0,2.33195769230769,-0.560769216277261,-248.560683349418,10631.8153846154,15,1593043332.6,"18:02:12",1593043328.6,1593043332.6,1,0.001,-0.011,-1.151,-0.04,400,27,0.05,0.1,-17.1496707317073,0.0491958188153511,0.0382602209771546,1,6.43784365853659,-0.0382254355400617,0.00438753876008027,1,2,2,"2/2",100,100,-1.151,-0.0402,-1.15061904761905,0,0,0,-0.0401904761904817,0,0,0,-1,-1,-1,-1,22.7,22.6,2,632.622,758.781,30.6347,31.0234,30.0003,31.0657,30.9809,26.114,-30,-30,-999.9,400,0,102.424,102.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC"
8,1593044806.5,1834.40000009537,"20200624 18:26:46","18:26:46",NA,29,1593044798.75,0.00403093222356332,10.4262263162159,387.992566666667,311.337059339828,26.6198443201451,33.1740196427009,0.258410050972269,2.66175609084182,0.245237916461609,0.154401189048722,129.932553510736,30.8496702652654,30.4316133333333,4.36722075942714,66.4021560214488,3.0225770364261,4.55192604807857,1.34464372300104,-177.764111059142,104.096287826243,8.76431034255382,65.0290406203903,1,0,1,0,44567.3711814158,800.027433333333,673.223350649259,0.841500331862693,0.193000663725387,6,0.5,"0: Broadleaf",2,1593044798.75,387.992566666667,399.982833333333,35.35108,31.4626233333333,389.1432,35.3912766666667,599.996566666667,85.4017733333333,0.09991534,31.15702,30.4316133333333,999.9,0,0,10006.2083333333,0,190.447133333333,800.027433333333,0.949992,0.0500079,0,2.35940666666667,0,8824.173,5424.12333333333,41.0206666666666,45.2541333333333,43.0248,43.437,41.75,760.019333333333,40.0103333333333,0,1593044807.2,0,2.3574,0.105123068357123,-514.674615535971,8820.4272,15,1593043332.6,"18:02:12",1593043328.6,1593043332.6,1,0.001,-0.011,-1.151,-0.04,400,27,0.05,0.1,-12.0002634146341,0.195815331010414,0.0350097182054937,0,3.89924780487805,-0.231626968641119,0.0228922455197724,0,0,2,"0/2",100,100,-1.151,-0.0402,-1.15061904761905,0,0,0,-0.0401904761904817,0,0,0,-1,-1,-1,-1,24.6,24.6,2,623.513,757.121,30.6741,31.0555,30.0002,31.0937,31.0103,26.1225,-30,-30,-999.9,400,0,102.422,102.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B"
9,1593044944,1971.90000009537,"20200624 18:29:04","18:29:04",NA,30,1593044936.25,0.00319457354167447,8.88133882017116,389.8618,300.566392292124,25.6997720484732,33.3349291449376,0.184793780474267,2.65980454196855,0.17794598927722,0.111810348305872,129.925240132169,31.2441548050862,30.6814533333333,4.4300845328574,64.4776053943235,2.96141419937154,4.5929345255,1.46867033348586,-140.880693187844,90.7888744703047,7.66490646656137,87.4983278811907,0,0,1,0,44493.7606564005,799.986266666667,673.188374399977,0.841499913748491,0.192999827496981,6,0.5,"0: Broadleaf",2,1593044936.25,389.8618,399.988633333333,34.63461,31.5506633333333,391.0123,34.67481,599.9969,85.4044733333333,0.10000324,31.31459,30.6814533333333,999.9,0,0,9994.04366666667,0,140.0069,799.986266666667,0.9500028,0.04999742,0,2.36377666666667,0,9606.47333333333,5423.86133333333,41.2185,45.4958,43.25,43.7644666666666,41.9832,759.989,39.997,0,1593044944.6,0,2.37418846153846,0.862095746426579,-2081.26393202531,9607.72653846154,15,1593043332.6,"18:02:12",1593043328.6,1593043332.6,1,0.001,-0.011,-1.151,-0.04,400,27,0.05,0.1,-9.96106731707317,-2.85400829268293,0.290793175935837,0,3.08711219512195,-0.0636014634146274,0.00687590118694696,1,1,2,"1/2",100,100,-1.151,-0.0402,-1.15061904761905,0,0,0,-0.0401904761904817,0,0,0,-1,-1,-1,-1,26.9,26.9,2,635.637,756.003,30.7957,31.1169,30.0005,31.1528,31.0717,26.1266,-30,-30,-999.9,400,0,102.414,102.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CB"
10,1593045294.5,2322.40000009537,"20200624 18:34:54","18:34:54",NA,31,1593045286.75,0.00451300982271095,10.885474310844,387.363466666667,318.541096640458,27.2347564404052,33.1189594681573,0.305892338072054,2.6617750385506,0.287618648555149,0.181312434026069,129.923933996952,31.2847658109843,30.3257933333333,4.34082995949979,65.0187412471309,3.05732073398026,4.70221458511422,1.28350922551953,-199.023733181553,201.302153399261,16.9874368068243,149.189791021484,4,1,1,0,44484.1999966501,799.9805,673.183324748947,0.841499667490579,0.192999334981158,6,0.5,"0: Broadleaf",2,1593045286.75,387.363466666667,399.9973,35.7588033333333,31.40711,388.5141,35.799,599.991266666667,85.3985166666667,0.09989069,31.72858,30.3257933333333,999.9,0,0,10006.705,0,67.7269633333333,799.9805,0.950007,0.04999315,0,2.36272333333333,0,11763.5733333333,5423.829,41.5,45.3874,43.4748,44.062,42.312,759.987333333333,39.99,0,1593045295.6,0,2.362348,0.0354615310805364,383.923077554376,11768.776,15,1593043332.6,"18:02:12",1593043328.6,1593043332.6,1,0.001,-0.011,-1.151,-0.04,400,27,0.05,0.1,-12.6212487804878,-0.349754006968664,0.0424734472114635,0,4.34947951219512,0.0501984668989557,0.00515522796506643,1,1,2,"1/2",100,100,-1.15,-0.0401,-1.15061904761905,0,0,0,-0.0401904761904817,0,0,0,-1,-1,-1,-1,32.8,32.7,2,620.787,753.726,31.1481,31.1982,29.9999,31.2236,31.1316,26.1538,-30,-30,-999.9,400,0,102.411,102.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CXC"
