"obs","time...2","elapsed","date","hhmmss...5","species","ID","TIME...8","E","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","TIME...44","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","F_avg","dF/dt","dF_dc/dt","F_dc_avg","period","time...85","hhmmss...86","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","round","TIME...9","TIME...45","time...86","hhmmss...87","DarkAdaptedID","Fo","Fm","Fv","Fv/Fm","Adark","LightAdaptedID","Fs","Fm'","PhiPS2","PS2/1","Qabs_fs","Afs","ETR","Fv'/Fm'","PhiCO2","NPQ","DarkPulseID","Fo'","Fv'","qP","qN","qP_Fo","qN_Fo","TIME...69","time...110","hhmmss...111","tx"
1,1593010041,0,"20200624 08:47:21","08:47:21",NA,22,1593010033,0.00108508478690393,-2.04198235681845,401.597709677419,431.831446923965,37.0827319627707,34.4864653348242,0.0854139429548562,2.66850766375556,0.0839236805316043,0.0525840287113326,0,24.0085377851862,23.9228161290323,2.98111660100901,62.3233713787465,1.90239664300365,3.05246106062292,1.07871995800536,-47.8522391024632,56.6923922217807,4.45412836463002,13.2942814839475,0,0,1,0,45780.1968168869,0,0,0,0,6,0.5,"0: Broadleaf",2,1593010033,401.597709677419,399.991516129032,22.153564516129,21.0925322580645,402.749709677419,22.1825612903226,600.007935483871,85.7731903225807,0.0999720580645161,24.3168838709677,23.9228161290323,999.9,0,0,10003.7506451613,0,0.227353,0,0,0,0,2.189,0,-10.3105741935484,-2.27124516129032,32.808,38.262,35.653,37.254,34.125,0,0,0,1593010041.7,0,2.19896,0.593661544894558,3.6850922976121,-10.24516,15,0,"--:--:--",1592956963.5,1592956948,0,-0.105,-0.011,-1.152,-0.029,400,30,0.01,0.03,1.61076425,-0.0956885178236425,0.0246922348003881,1,1.059654,0.0245979737335806,0.00259432727310955,1,2,2,"2/2",100,100,-1.152,-0.029,-1.152,0,0,0,-0.029,0,0,0,-1,-1,-1,-1,884.6,884.9,2,629.639,809.842,23.8376,24.5429,30.0011,24.4268,24.3264,25.806,-30,-30,-999.9,400,0,103.298,103.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CXC"
2,1593010276.5,235.5,"20200624 08:51:16","08:51:16",NA,23,1593010268.75,0.00186348760304473,-2.4584842017442,401.715466666667,418.982504256603,35.9803605602372,34.497543898488,0.161459053988089,2.66827076590702,0.156221110125227,0.0980946468432808,0,24.0680495644492,23.94808,2.98564638487241,64.1380875472838,1.99095920753559,3.10417613569755,0.994687177336819,-82.1798032942726,93.4240807920435,7.35201183237375,18.5962893301447,7,1,1,0,45730.7817976848,0,0,0,0,6,0.5,"0: Broadleaf",2,1593010268.75,401.715466666667,400.0056,23.1842333333333,21.3639766666667,402.867466666667,23.2132333333333,600.009033333333,85.7755633333334,0.100004726666667,24.5975266666667,23.94808,999.9,0,0,10002.0383333333,0,0.227353,0,0,0,0,2.28334666666667,0,-8.53777,-2.0287,33.1312,38.5662,36.0268666666667,37.5537333333333,34.437,0,0,0,1593010277.5,0,2.29786153846154,-0.362249578657307,1.26931282831849,-8.52224615384615,15,0,"--:--:--",1592956963.5,1592956948,0,-0.105,-0.011,-1.152,-0.029,400,30,0.01,0.03,1.71834675,-0.0861918574108912,0.0300479835752335,1,1.8191135,0.0297082176360213,0.00300506701256396,1,2,2,"2/2",100,100,-1.152,-0.029,-1.152,0,0,0,-0.029,0,0,0,-1,-1,-1,-1,888.5,888.8,2,617.905,806.492,24.1942,25.0749,30.0009,25.0224,24.9252,25.8419,-30,-30,-999.9,400,0,103.247,103.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CXC"
3,1593010479,438,"20200624 08:54:39","08:54:39",NA,24,1593010471.25,0.000288731121358048,-1.21508409543535,401.083666666667,488.58644380882,41.9583810110337,34.4438973216527,0.0199401019595733,2.66774720978472,0.0198576701811861,0.0124184215245177,0,24.8956302631649,24.5248066666667,3.09070278326286,59.1467050658671,1.87817113088871,3.17544507136472,1.21253165237416,-12.7330424518899,65.130991044801,5.1512802560342,57.5492288489453,1,0,1,0,45658.5816138887,0,0,0,0,6,0.5,"0: Broadleaf",2,1593010471.25,401.083666666667,399.9844,21.8704566666667,21.5880433333333,402.235666666667,21.8994566666667,600.0066,85.7770566666667,0.100031293333333,24.97766,24.5248066666667,999.9,0,0,9998.692,0,0.227353,0,0,0,0,2.30992666666667,0,-6.59744333333333,-1.72036333333333,33.4958,38.9664,36.3666,37.875,34.7954666666667,0,0,0,1593010479.7,0,2.341244,-0.140953835857214,-0.270915389681464,-6.605536,15,0,"--:--:--",1592956963.5,1592956948,0,-0.105,-0.011,-1.152,-0.029,400,30,0.01,0.03,1.10306275,-0.0157617636022526,0.0313295356642498,1,0.28257055,-0.00426504315196976,0.000928270379523129,1,2,2,"2/2",100,100,-1.152,-0.029,-1.152,0,0,0,-0.029,0,0,0,-1,-1,-1,-1,891.9,892.2,2,625.633,803.312,24.5186,25.4842,30.0007,25.4565,25.3655,25.8714,-30,-30,-999.9,400,0,103.199,103.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C"
4,1593010627,586,"20200624 08:57:07","08:57:07",NA,25,1593010619,0.000227934914118006,-0.91621857199312,400.817903225806,484.662923271469,41.6208182299426,34.4205597177976,0.0156015501539012,2.66778541378003,0.0155510385512316,0.00972392365675021,0,25.0247682956958,24.6403290322581,3.11213041233262,59.1265079898382,1.89008960368587,3.19668735385271,1.22204080864675,-10.0519297126041,64.605088873578,5.11546813533859,59.6686272963125,0,0,1,0,45642.4336248351,0,0,0,0,6,0.5,"0: Broadleaf",2,1593010619,400.817903225806,399.993064516129,22.0095709677419,21.7866580645161,401.969903225806,22.0385709677419,600.014161290323,85.7757774193548,0.100026632258065,25.0895193548387,24.6403290322581,999.9,0,0,9999.07258064516,0,0.227353,0,0,0,0,2.2965,0,-5.50313548387097,-1.54421612903226,33.687,39.2073225806452,36.620935483871,38.062,35,0,0,0,1593010627.9,0,2.31367307692308,0.757589755396037,-0.6272752170312,-5.51560769230769,15,0,"--:--:--",1592956963.5,1592956948,0,-0.105,-0.011,-1.152,-0.029,400,30,0.01,0.03,0.826857025,0.0348193283302061,0.0216615334158128,1,0.222748575,-0.00102122701688553,0.00101957790010131,1,2,2,"2/2",100,100,-1.152,-0.029,-1.152,0,0,0,-0.029,0,0,0,-1,-1,-1,-1,894.4,894.6,2,631.447,802.209,24.6927,25.6667,30.0001,25.6682,25.5772,25.8887,-30,-30,-999.9,400,0,103.192,103.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B"
5,1593010866,825,"20200624 09:01:06","09:01:06",NA,26,1593010858,0.000460620172545671,-0.954422353190861,400.773580645161,439.595545198294,37.7524884933054,34.4184561399553,0.031534883933509,2.66748830448778,0.031329229127405,0.0195991335336846,0,25.332003362389,24.9373451612903,3.1678195121462,59.4383405399902,1.94273117474505,3.26848151730949,1.22508833740115,-20.3133496092641,75.5701046791756,6.00457605097661,61.2613311208881,0,0,1,0,45577.5667236236,0,0,0,0,6,0.5,"0: Broadleaf",2,1593010858,400.773580645161,400.003774193548,22.6214483870968,22.1712548387097,401.925580645161,22.6504483870968,600.008967741936,85.7800677419355,0.0999847419354838,25.4628322580645,24.9373451612903,999.9,0,0,9996.77258064516,0,0.227353,0,0,0,0,2.38052258064516,0,-4.35285483870968,-1.26476129032258,34,39.437,36.879,38.29,35.27,0,0,0,1593010866.7,0,2.39570769230769,-0.294058121125972,1.71995216729795,-4.31500769230769,15,0,"--:--:--",1592956963.5,1592956948,0,-0.105,-0.011,-1.152,-0.029,400,30,0.01,0.03,0.768517275,-0.0272845666041277,0.0204992030869343,1,0.4481655,0.0389071294559085,0.00383885359189433,1,2,2,"2/2",100,100,-1.152,-0.029,-1.152,0,0,0,-0.029,0,0,0,-1,-1,-1,-1,898.4,898.6,2,635.245,799.464,25.058,25.8857,30.0005,25.9196,25.8382,25.8975,-30,-30,-999.9,400,0,103.147,103.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CB"
6,1593011082.6,1041.59999990463,"20200624 09:04:42","09:04:42",NA,27,1593011074.85,0.000951677615445748,-1.60527389946368,401.208733333333,428.968952658208,36.8406819003912,34.4565806658021,0.070631928907507,2.66718918829,0.0696090251070446,0.0435963104253604,0,25.3185777213647,24.8013933333333,3.14222204567726,60.8325260110139,2.00323897648664,3.29303927988121,1.13898306919062,-41.9689828411575,113.235946086248,8.99796152353111,80.2649247686219,10,2,1,0,45550.4456260177,0,0,0,0,6,0.5,"0: Broadleaf",2,1593011074.85,401.208733333333,399.985266666667,23.3255,22.39601,402.360766666667,23.3545,599.993066666667,85.7819333333333,0.09999745,25.5888833333333,24.8013933333333,999.9,0,0,9994.74333333333,0,0.227353,0,0,0,0,2.36747666666667,0,-2.60804333333333,-1.02120333333333,34.3058,39.6933,37.1828666666667,38.6436,35.562,0,0,0,1593011083.3,0,2.369832,0.882138458667468,-2.41558460053965,-2.633828,15,0,"--:--:--",1592956963.5,1592956948,0,-0.105,-0.011,-1.152,-0.029,400,30,0.01,0.03,1.219196,0.0611157973733562,0.0358933575191845,1,0.928911225,0.0136773996247622,0.00148911309992727,1,2,2,"2/2",100,100,-1.152,-0.029,-1.152,0,0,0,-0.029,0,0,0,-1,-1,-1,-1,902,902.2,2,614.111,797.175,25.284,26.1097,30.0003,26.1502,26.0663,25.9071,-30,-30,-999.9,400,0,103.094,103.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC"
7,1593011335.6,1294.59999990463,"20200624 09:08:55","09:08:55",NA,28,1593011327.6,0.000574716595196255,-0.761816036343707,400.538612903226,421.952154889067,36.2421824126239,34.4029371670219,0.0395389844626669,2.66814694462537,0.0392163386374744,0.0245389805137413,0,25.5316106116795,25.1802193548387,3.21400249467202,60.1550396550906,1.99341472388528,3.31379504579311,1.22058777078674,-25.3450018481548,74.0171398563785,5.89378467949459,54.5659226877183,0,0,1,0,45559.860786268,0,0,0,0,6,0.5,"0: Broadleaf",2,1593011327.6,400.538612903226,400.007,23.2084709677419,22.6471,401.690612903226,23.2374677419355,600.007838709677,85.7916290322581,0.100057958064516,25.6947806451613,25.1802193548387,999.9,0,0,9999.41516129032,0,0.227353,0,0,0,0,2.34656451612903,0,-1.17416451612903,-0.797483870967742,34.5,39.937,37.375,38.812,35.75,0,0,0,1593011336.5,0,2.34018,0.00450770005351803,1.13480769272094,-1.18472,15,0,"--:--:--",1592956963.5,1592956948,0,-0.105,-0.011,-1.152,-0.029,400,30,0.01,0.03,0.528752175,0.0590470131332071,0.0256977539601105,1,0.5602483,0.0229830619136948,0.0024086220147628,1,2,2,"2/2",100,100,-1.153,-0.029,-1.152,0,0,0,-0.029,0,0,0,-1,-1,-1,-1,906.2,906.5,2,636.14,794.383,25.3898,26.2789,30.0008,26.3309,26.2585,25.943,-30,-30,-999.9,400,0,103.112,103.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CC"
8,1593012345.1,2304.09999990463,"20200624 09:25:45","09:25:45",NA,29,1593012337.35,0.000283321591150899,-1.1531613849696,401.0407,485.25116248474,41.6789465928793,34.4459842842655,0.0195927538750977,2.66840446696913,0.0195131822673164,0.0122028610732803,0,25.5943070527406,25.0717333333333,3.19330147852954,59.9356329167734,1.9837845541439,3.30985835571067,1.20951692438564,-12.4944821697547,86.7479490989626,6.9023790376537,81.1558459668616,10,2,1,0,45569.733510979,0,0,0,0,6,0.5,"0: Broadleaf",2,1593012337.35,401.0407,400.001166666667,23.0964033333333,22.8196266666667,402.192733333333,23.1254033333333,600.002633333334,85.7915033333333,0.0999891866666667,25.67474,25.0717333333333,999.9,0,0,10000.99,0,0.227353,0,0,0,0,2.37380333333333,0,1.17991333333333,-0.452473333333333,34.875,40.25,37.812,39.1746,36.0662,0,0,0,1593012345.7,0,2.365404,0.370423079597648,0.345076921829807,1.19284,15,0,"--:--:--",1592956963.5,1592956948,0,-0.105,-0.011,-1.152,-0.029,400,30,0.01,0.03,1.0324583,0.0958267091932448,0.0304283706910179,1,0.276366875,0.0121713658536583,0.00156032621889623,1,2,2,"2/2",100,100,-1.152,-0.029,-1.152,0,0,0,-0.029,0,0,0,-1,-1,-1,-1,923,923.3,2,614.2,788.755,25.3538,26.2997,30.0001,26.4149,26.3409,26.0125,-30,-30,-999.9,400,0,103.123,103.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B"
9,1593012541.1,2500.09999990463,"20200624 09:29:01","09:29:01",NA,30,1593012533.1,0.000702472189753155,-1.32681126516828,401.020387096774,432.539999997151,37.152695283744,34.4453420365137,0.0529851465580275,2.66839851166595,0.0524075235294809,0.0328060745298437,0,25.3481314209208,24.7334322580645,3.12949401254197,61.2676750516595,2.01262732124318,3.28497420466205,1.11686669129879,-30.9790235681141,117.121864971195,9.29741581012499,95.4402572132059,0,0,1,0,45589.0440722893,0,0,0,0,6,0.5,"0: Broadleaf",2,1593012533.1,401.020387096774,399.975290322581,23.4314580645161,22.7454516129032,402.172387096774,23.4604580645161,600.005064516129,85.7941935483871,0.100048103225806,25.5475774193548,24.7334322580645,999.9,0,0,10000.6403225806,0,0.227353,0,0,0,0,2.36558387096774,0,0.461916129032258,-0.6012,34.808,40.125,37.7052903225806,39.0701290322581,36.042,0,0,0,1593012541.9,0,2.38058076923077,-0.291880343942352,0.0122222205238744,0.439719230769231,15,0,"--:--:--",1592956963.5,1592956948,0,-0.105,-0.011,-1.152,-0.029,400,30,0.01,0.03,1.03892525,0.146870296435272,0.0323902770339727,0,0.685477125,0.00515037523452045,0.00156583391819663,1,1,2,"1/2",100,100,-1.152,-0.029,-1.152,0,0,0,-0.029,0,0,0,-1,-1,-1,-1,926.3,926.6,2,631.729,793.801,25.2682,26.245,29.9997,26.3768,26.3114,26.0287,-30,-30,-999.9,400,0,103.149,103.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CB"
10,1593012726,2685,"20200624 09:32:06","09:32:06",NA,31,1593012718,0.000709115231377079,-1.9182116596955,401.623580645161,450.797414983864,38.7199195841263,34.4962775490319,0.0530773489534084,2.66802523754555,0.0524976455918641,0.0328625848615292,0,25.2975861698354,24.7778677419355,3.13781096455738,61.437970763985,2.01240197453994,3.2755020218207,1.12540899001744,-31.2719817037292,103.719677613939,8.23449289898646,80.6821888091966,0,0,1,0,45586.5353359733,0,0,0,0,6,0.5,"0: Broadleaf",2,1593012718,401.623580645161,399.990161290323,23.4294290322581,22.7369258064516,402.77564516129,23.4584290322581,599.998129032258,85.792064516129,0.0999976322580645,25.4989516129032,24.7778677419355,999.9,0,0,9998.62709677419,0,0.227353,0,0,0,0,2.3806,0,-0.0643483870967742,-0.722064516129032,34.687,39.913,37.562,38.8343548387097,35.887,0,0,0,1593012726.7,0,2.40044230769231,-0.85899146336064,1.21458461132794,-0.0379230769230769,15,0,"--:--:--",1592956963.5,1592956948,0,-0.105,-0.011,-1.152,-0.029,400,30,0.01,0.03,1.6314987804878,-0.0526731010452965,0.0276442453055385,1,0.69187812195122,0.0179321184669003,0.0022241275427887,1,2,2,"2/2",100,100,-1.152,-0.029,-1.152,0,0,0,-0.029,0,0,0,-1,-1,-1,-1,929.4,929.6,2,636.007,788.608,25.2069,26.1037,29.9996,26.2586,26.1896,26.0306,-30,-30,-999.9,400,0,103.171,103.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CXC"
