"TOA5","CR1000_AndereggDL1","CR1000","64392","CR1000.Std.27","CPU:CompetitionNightGsExp-GrowthChamber_SoillSensors_v3.CR1","20535","SoilSensors"
"TIMESTAMP","RECORD","PRefTemp__Avg","Period_Avg(1)","Period_Avg(2)","Period_Avg(3)","Period_Avg(4)","Period_Avg(5)","Period_Avg(6)","Period_Avg(7)","Period_Avg(8)","Period_Avg(9)","VWC_Avg(1)","VWC_Avg(2)","VWC_Avg(3)","VWC_Avg(4)","VWC_Avg(5)","VWC_Avg(6)","VWC_Avg(7)","VWC_Avg(8)","VWC_Avg(9)"
"TS","RN","Deg C","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2020-06-19 12:45:00",0,27.79,28.19,29.88,28.3,28.53,29.91,26.99,28.7,25.51,26.23,0.312,0.37,0.316,0.324,0.372,0.274,0.33,0.228,0.25
"2020-06-19 13:00:00",1,27.71,28.18,29.92,28.23,28.51,29.86,26.92,28.66,25.51,26.24,0.312,0.372,0.314,0.323,0.37,0.271,0.328,0.229,0.25
"2020-06-19 13:15:00",2,27.65,28.18,29.95,28.13,28.49,29.8,26.85,28.62,25.51,26.25,0.312,0.373,0.311,0.322,0.368,0.269,0.327,0.229,0.251
"2020-06-19 13:30:00",3,27.73,28.18,29.95,28.05,28.48,29.74,26.78,28.58,25.51,26.25,0.312,0.373,0.308,0.322,0.366,0.267,0.326,0.229,0.251
"2020-06-19 13:45:00",4,27.92,28.18,29.95,27.97,28.46,29.69,26.73,28.55,25.51,26.24,0.312,0.373,0.305,0.321,0.364,0.265,0.324,0.229,0.25
"2020-06-19 14:00:00",5,28.18,28.18,29.93,27.9,28.45,29.64,26.67,28.52,25.51,26.24,0.312,0.372,0.303,0.321,0.362,0.264,0.323,0.228,0.25
"2020-06-19 14:15:00",6,28.48,28.19,29.97,27.82,28.42,29.6,26.63,28.49,25.51,26.25,0.312,0.374,0.3,0.32,0.36,0.262,0.322,0.228,0.251
"2020-06-19 14:30:00",7,28.85,28.19,29.98,27.75,28.41,29.56,26.59,28.47,25.51,26.26,0.312,0.374,0.298,0.32,0.359,0.261,0.322,0.228,0.251
